name,type1,type2,ability1,ability2,ability3,formats,hp,atk,def,spa,spd,spe
Fezandipiti,"Poison
Fairy",,Toxic Chain,Technician,,['RU'],"HP
88","Atk
91","Def
82","SpA
70","SpD
125","Spe
99"
Fidgit,"Poison
Ground",,Persistent,Frisk,Vital Spirit,['CAP'],"HP
95","Atk
76","Def
109","SpA
90","SpD
80","Spe
105"
Fidough,Fairy,,Own Tempo,Klutz,,['LC'],"HP
37","Atk
55","Def
70","SpA
30","SpD
55","Spe
65"
Finizen,Water,,Water Veil,,,['LC'],"HP
70","Atk
45","Def
40","SpA
45","SpD
40","Spe
75"
Finneon,Water,,Swift Swim,Water Veil,Storm Drain,['LC'],"HP
49","Atk
49","Def
56","SpA
49","SpD
61","Spe
66"
Flaaffy,Electric,,Static,Plus,,['NFE'],"HP
70","Atk
55","Def
55","SpA
80","SpD
60","Spe
45"
Flabebe,Fairy,,Flower Veil,Symbiosis,,['LC'],"HP
44","Atk
38","Def
39","SpA
61","SpD
79","Spe
42"
Flamigo,"Flying
Fighting",,Scrappy,Costar,Tangled Feet,['PUBL'],"HP
82","Atk
115","Def
74","SpA
75","SpD
64","Spe
90"
Flapple,"Grass
Dragon",,Ripen,Hustle,Gluttony,['ZU'],"HP
70","Atk
110","Def
80","SpA
95","SpD
60","Spe
70"
Flapple-Gmax,"Grass
Dragon",,Ripen,Hustle,Gluttony,['National Dex'],"HP
70","Atk
110","Def
80","SpA
95","SpD
60","Spe
70"
Flarelm,"Fire
Grass",,Rock Head,White Smoke,Battle Armor,[],"HP
90","Atk
50","Def
95","SpA
75","SpD
70","Spe
40"
Flareon,Fire,,Flash Fire,Guts,,['ZU'],"HP
65","Atk
130","Def
60","SpA
95","SpD
110","Spe
65"
Fletchinder,"Fire
Flying",,Flame Body,Gale Wings,,['NFE'],"HP
62","Atk
73","Def
55","SpA
56","SpD
52","Spe
84"
Fletchling,"Normal
Flying",,Big Pecks,Gale Wings,,['LC'],"HP
45","Atk
50","Def
43","SpA
40","SpD
38","Spe
62"
Flittle,Psychic,,Anticipation,Speed Boost,Frisk,['NFE'],"HP
30","Atk
35","Def
30","SpA
55","SpD
30","Spe
75"
Floatoy,Water,,Water Veil,Swift Swim,Heatproof,[],"HP
48","Atk
70","Def
40","SpA
70","SpD
30","Spe
77"
Floatzel,Water,,Swift Swim,Water Veil,,['ZU'],"HP
85","Atk
105","Def
55","SpA
85","SpD
50","Spe
115"
Floette,Fairy,,Flower Veil,Symbiosis,,['NFE'],"HP
54","Atk
45","Def
47","SpA
75","SpD
98","Spe
52"
Floragato,Grass,,Overgrow,Protean,,['NFE'],"HP
61","Atk
80","Def
63","SpA
60","SpD
63","Spe
83"
Florges,Fairy,,Flower Veil,Symbiosis,,['PU'],"HP
78","Atk
65","Def
68","SpA
112","SpD
154","Spe
75"
Flutter Mane,"Ghost
Fairy",,Protosynthesis,,,['Uber'],"HP
55","Atk
55","Def
55","SpA
135","SpD
135","Spe
135"
Flygon,"Ground
Dragon",,Levitate,,,['NU'],"HP
80","Atk
100","Def
80","SpA
80","SpD
80","Spe
100"
Fomantis,Grass,,Leaf Guard,Contrary,,['LC'],"HP
40","Atk
55","Def
35","SpA
50","SpD
35","Spe
35"
Foongus,"Grass
Poison",,Effect Spore,Regenerator,,['LC'],"HP
69","Atk
55","Def
45","SpA
55","SpD
55","Spe
15"
Forretress,"Bug
Steel",,Sturdy,Overcoat,,['RU'],"HP
75","Atk
90","Def
140","SpA
60","SpD
60","Spe
40"
Fraxure,Dragon,,Rivalry,Unnerve,Mold Breaker,['NFE'],"HP
66","Atk
117","Def
70","SpA
40","SpD
50","Spe
67"
Frigibax,"Dragon
Ice",,Thermal Exchange,Ice Body,,['LC'],"HP
65","Atk
75","Def
45","SpA
35","SpD
45","Spe
55"
Frillish,"Water
Ghost",,Water Absorb,Damp,Cursed Body,['National Dex'],"HP
55","Atk
40","Def
50","SpA
65","SpD
85","Spe
40"
Froakie,Water,,Torrent,Protean,,['LC'],"HP
41","Atk
56","Def
40","SpA
62","SpD
44","Spe
71"
Frogadier,Water,,Torrent,Protean,,['NFE'],"HP
54","Atk
63","Def
52","SpA
83","SpD
56","Spe
97"
Froslass,"Ice
Ghost",,Snow Cloak,Cursed Body,,['ZU'],"HP
70","Atk
80","Def
70","SpA
80","SpD
70","Spe
110"
Frosmoth,"Ice
Bug",,Shield Dust,Ice Scales,,['ZU'],"HP
70","Atk
65","Def
60","SpA
125","SpD
90","Spe
65"
Fuecoco,Fire,,Blaze,Unaware,,['LC'],"HP
67","Atk
45","Def
59","SpA
63","SpD
40","Spe
36"
Furfrou,Normal,,Fur Coat,,,['National Dex'],"HP
75","Atk
80","Def
60","SpA
65","SpD
90","Spe
102"
Furret,Normal,,Run Away,Frisk,Keen Eye,['ZU'],"HP
85","Atk
76","Def
64","SpA
45","SpD
55","Spe
90"
Gabite,"Dragon
Ground",,Sand Veil,Rough Skin,,['NFE'],"HP
68","Atk
90","Def
65","SpA
50","SpD
55","Spe
82"
Gallade,"Psychic
Fighting",,Steadfast,Justified,Sharpness,['NUBL'],"HP
68","Atk
125","Def
65","SpA
65","SpD
115","Spe
80"
Gallade-Mega,"Psychic
Fighting",,Inner Focus,,,['National Dex'],"HP
68","Atk
165","Def
95","SpA
65","SpD
115","Spe
110"
Galvantula,"Bug
Electric",,Compound Eyes,Swarm,Unnerve,['NU'],"HP
70","Atk
77","Def
60","SpA
97","SpD
60","Spe
108"
Garbodor,Poison,,Stench,Aftermath,Weak Armor,['National Dex'],"HP
80","Atk
95","Def
82","SpA
60","SpD
82","Spe
75"
Garbodor-Gmax,Poison,,Stench,Aftermath,Weak Armor,['National Dex'],"HP
80","Atk
95","Def
82","SpA
60","SpD
82","Spe
75"
Garchomp,"Dragon
Ground",,Sand Veil,Rough Skin,,['UUBL'],"HP
108","Atk
130","Def
95","SpA
80","SpD
85","Spe
102"
Garchomp-Mega,"Dragon
Ground",,Sand Force,,,['National Dex'],"HP
108","Atk
170","Def
115","SpA
120","SpD
95","Spe
92"
Gardevoir,"Psychic
Fairy",,Synchronize,Telepathy,Trace,['RU'],"HP
68","Atk
65","Def
65","SpA
125","SpD
115","Spe
80"
Gardevoir-Mega,"Psychic
Fairy",,Pixilate,,,['National Dex'],"HP
68","Atk
85","Def
65","SpA
165","SpD
135","Spe
100"
Garganacl,Rock,,Purifying Salt,Clear Body,Sturdy,['OU'],"HP
100","Atk
100","Def
130","SpA
45","SpD
90","Spe
35"
Gastly,"Ghost
Poison",,Levitate,,,['NFE'],"HP
30","Atk
35","Def
30","SpA
100","SpD
35","Spe
80"
Gastrodon,"Water
Ground",,Sticky Hold,Sand Force,Storm Drain,['PU'],"HP
111","Atk
83","Def
68","SpA
92","SpD
82","Spe
39"
Genesect,"Bug
Steel",,Download,,,['National Dex'],"HP
71","Atk
120","Def
95","SpA
120","SpD
95","Spe
99"
Genesect-Burn,"Bug
Steel",,Download,,,['National Dex'],"HP
71","Atk
120","Def
95","SpA
120","SpD
95","Spe
99"
Genesect-Chill,"Bug
Steel",,Download,,,['National Dex'],"HP
71","Atk
120","Def
95","SpA
120","SpD
95","Spe
99"
Genesect-Douse,"Bug
Steel",,Download,,,['National Dex'],"HP
71","Atk
120","Def
95","SpA
120","SpD
95","Spe
99"
Genesect-Shock,"Bug
Steel",,Download,,,['National Dex'],"HP
71","Atk
120","Def
95","SpA
120","SpD
95","Spe
99"
Gengar,"Ghost
Poison",,Cursed Body,,,['RU'],"HP
60","Atk
65","Def
60","SpA
130","SpD
75","Spe
110"
Gengar-Gmax,"Ghost
Poison",,Cursed Body,,,['National Dex'],"HP
60","Atk
65","Def
60","SpA
130","SpD
75","Spe
110"
Gengar-Mega,"Ghost
Poison",,Shadow Tag,,,['National Dex'],"HP
60","Atk
65","Def
80","SpA
170","SpD
95","Spe
130"
Geodude,"Rock
Ground",,Rock Head,Sand Veil,Sturdy,['LC'],"HP
40","Atk
80","Def
100","SpA
30","SpD
30","Spe
20"
Geodude-Alola,"Rock
Electric",,Magnet Pull,Galvanize,Sturdy,['LC'],"HP
40","Atk
80","Def
100","SpA
30","SpD
30","Spe
20"
Gholdengo,"Steel
Ghost",,Good as Gold,,,['OU'],"HP
87","Atk
60","Def
95","SpA
133","SpD
91","Spe
84"
Gible,"Dragon
Ground",,Sand Veil,Rough Skin,,['LC'],"HP
58","Atk
70","Def
45","SpA
40","SpD
45","Spe
42"
Gigalith,Rock,,Sturdy,Sand Force,Sand Stream,['National Dex'],"HP
85","Atk
135","Def
130","SpA
60","SpD
80","Spe
25"
Gimmighoul,Ghost,,Rattled,,,['LC'],"HP
45","Atk
30","Def
70","SpA
75","SpD
70","Spe
10"
Gimmighoul-Roaming,Ghost,,Run Away,,,['LC'],"HP
45","Atk
30","Def
25","SpA
75","SpD
45","Spe
80"
Girafarig,"Normal
Psychic",,Inner Focus,Sap Sipper,Early Bird,['NFE'],"HP
70","Atk
80","Def
65","SpA
90","SpD
65","Spe
85"
Giratina,"Ghost
Dragon",,Pressure,Telepathy,,['Uber'],"HP
150","Atk
100","Def
120","SpA
100","SpD
120","Spe
90"
Giratina-Origin,"Ghost
Dragon",,Levitate,,,['Uber'],"HP
150","Atk
120","Def
100","SpA
120","SpD
100","Spe
90"
Glaceon,Ice,,Snow Cloak,Ice Body,,['ZU'],"HP
65","Atk
60","Def
110","SpA
130","SpD
95","Spe
65"
Glalie,Ice,,Inner Focus,Moody,Ice Body,['ZU'],"HP
80","Atk
80","Def
80","SpA
80","SpD
80","Spe
80"
Glalie-Mega,Ice,,Refrigerate,,,['National Dex'],"HP
80","Atk
120","Def
80","SpA
120","SpD
80","Spe
100"
Glameow,Normal,,Limber,Keen Eye,Own Tempo,['National Dex'],"HP
49","Atk
55","Def
42","SpA
42","SpD
37","Spe
85"
Glastrier,Ice,,Chilling Neigh,,,['ZU'],"HP
100","Atk
145","Def
130","SpA
65","SpD
110","Spe
30"
Gligar,"Ground
Flying",,Hyper Cutter,Immunity,Sand Veil,['NU'],"HP
65","Atk
75","Def
105","SpA
35","SpD
65","Spe
85"
Glimmet,"Rock
Poison",,Toxic Debris,Corrosion,,['LC'],"HP
48","Atk
35","Def
42","SpA
105","SpD
60","Spe
60"
Glimmora,"Rock
Poison",,Toxic Debris,Corrosion,,['OU'],"HP
83","Atk
55","Def
90","SpA
130","SpD
81","Spe
86"
Gliscor,"Ground
Flying",,Hyper Cutter,Poison Heal,Sand Veil,['OU'],"HP
75","Atk
95","Def
125","SpA
45","SpD
75","Spe
95"
Gloom,"Grass
Poison",,Chlorophyll,Stench,,['NFE'],"HP
60","Atk
65","Def
70","SpA
85","SpD
75","Spe
40"
Gogoat,Grass,,Sap Sipper,Grass Pelt,,['ZU'],"HP
123","Atk
100","Def
62","SpA
97","SpD
81","Spe
68"
Golbat,"Poison
Flying",,Inner Focus,Infiltrator,,['National Dex'],"HP
75","Atk
80","Def
70","SpA
65","SpD
75","Spe
90"
Goldeen,Water,,Swift Swim,Lightning Rod,Water Veil,['National Dex'],"HP
45","Atk
67","Def
60","SpA
35","SpD
50","Spe
63"
Golduck,Water,,Damp,Swift Swim,Cloud Nine,['ZU'],"HP
80","Atk
82","Def
78","SpA
95","SpD
80","Spe
85"
Golem,"Rock
Ground",,Rock Head,Sand Veil,Sturdy,['ZU'],"HP
80","Atk
120","Def
130","SpA
55","SpD
65","Spe
45"
Golem-Alola,"Rock
Electric",,Magnet Pull,Galvanize,Sturdy,['ZU'],"HP
80","Atk
120","Def
130","SpA
55","SpD
65","Spe
45"
Golett,"Ground
Ghost",,Iron Fist,No Guard,Klutz,['LC'],"HP
59","Atk
74","Def
50","SpA
35","SpD
50","Spe
35"
Golisopod,"Bug
Water",,Emergency Exit,,,['National Dex'],"HP
75","Atk
125","Def
140","SpA
60","SpD
90","Spe
40"
Golurk,"Ground
Ghost",,Iron Fist,No Guard,Klutz,['PU'],"HP
89","Atk
124","Def
80","SpA
55","SpD
80","Spe
55"
Goodra,Dragon,,Sap Sipper,Gooey,Hydration,['PU'],"HP
90","Atk
100","Def
70","SpA
110","SpD
150","Spe
80"
Goodra-Hisui,"Steel
Dragon",,Sap Sipper,Gooey,Shell Armor,['RU'],"HP
80","Atk
100","Def
100","SpA
110","SpD
150","Spe
60"
Goomy,Dragon,,Sap Sipper,Gooey,Hydration,['LC'],"HP
45","Atk
50","Def
35","SpA
55","SpD
75","Spe
40"
Gorebyss,Water,,Swift Swim,Hydration,,['National Dex'],"HP
55","Atk
84","Def
105","SpA
114","SpD
75","Spe
52"
Gossifleur,Grass,,Cotton Down,Effect Spore,Regenerator,['National Dex'],"HP
40","Atk
40","Def
60","SpA
40","SpD
60","Spe
10"
Gothita,Psychic,,Frisk,Shadow Tag,Competitive,['LC'],"HP
45","Atk
30","Def
50","SpA
55","SpD
65","Spe
45"
Gothitelle,Psychic,,Frisk,Shadow Tag,Competitive,['ZU'],"HP
70","Atk
55","Def
95","SpA
95","SpD
110","Spe
65"
Gothorita,Psychic,,Frisk,Shadow Tag,Competitive,['NFE'],"HP
60","Atk
45","Def
70","SpA
75","SpD
85","Spe
55"
Gouging Fire,"Fire
Dragon",,Protosynthesis,,,['Uber'],"HP
105","Atk
115","Def
121","SpA
65","SpD
93","Spe
91"
Gourgeist,"Ghost
Grass",,Pickup,Insomnia,Frisk,['National Dex'],"HP
65","Atk
90","Def
122","SpA
58","SpD
75","Spe
84"
Gourgeist-Large,"Ghost
Grass",,Pickup,Insomnia,Frisk,['National Dex'],"HP
75","Atk
95","Def
122","SpA
58","SpD
75","Spe
69"
Gourgeist-Small,"Ghost
Grass",,Pickup,Insomnia,Frisk,['National Dex'],"HP
55","Atk
85","Def
122","SpA
58","SpD
75","Spe
99"
Gourgeist-Super,"Ghost
Grass",,Pickup,Insomnia,Frisk,['National Dex'],"HP
85","Atk
100","Def
122","SpA
58","SpD
75","Spe
54"
Grafaiai,"Poison
Normal",,Unburden,Prankster,Poison Touch,['ZU'],"HP
63","Atk
95","Def
65","SpA
80","SpD
72","Spe
110"
Granbull,Fairy,,Intimidate,Rattled,Quick Feet,['ZU'],"HP
90","Atk
120","Def
75","SpA
60","SpD
60","Spe
45"
Grapploct,Fighting,,Limber,Technician,,['National Dex'],"HP
80","Atk
118","Def
90","SpA
70","SpD
80","Spe
42"
Graveler,"Rock
Ground",,Rock Head,Sand Veil,Sturdy,['NFE'],"HP
55","Atk
95","Def
115","SpA
45","SpD
45","Spe
35"
Graveler-Alola,"Rock
Electric",,Magnet Pull,Galvanize,Sturdy,['NFE'],"HP
55","Atk
95","Def
115","SpA
45","SpD
45","Spe
35"
Great Tusk,"Ground
Fighting",,Protosynthesis,,,['OU'],"HP
115","Atk
131","Def
131","SpA
53","SpD
53","Spe
87"
Greavard,Ghost,,Pickup,Fluffy,,['LC'],"HP
50","Atk
61","Def
60","SpA
30","SpD
55","Spe
34"
Greedent,Normal,,Cheek Pouch,Gluttony,,['ZU'],"HP
120","Atk
95","Def
95","SpA
55","SpD
75","Spe
20"
Greninja,"Water
Dark",,Torrent,Battle Bond,Protean,['UU'],"HP
72","Atk
95","Def
67","SpA
103","SpD
71","Spe
122"
Greninja-Ash,"Water
Dark",,Battle Bond,,,['National Dex'],"HP
72","Atk
145","Def
67","SpA
153","SpD
71","Spe
132"
Greninja-Bond,"Water
Dark",,Battle Bond,,,['UU'],"HP
72","Atk
95","Def
67","SpA
103","SpD
71","Spe
122"
Grimer,Poison,,Stench,Poison Touch,Sticky Hold,['LC'],"HP
80","Atk
80","Def
50","SpA
40","SpD
50","Spe
25"
Grimer-Alola,"Poison
Dark",,Poison Touch,Power of Alchemy,Gluttony,['LC'],"HP
80","Atk
80","Def
50","SpA
40","SpD
50","Spe
25"
Grimmsnarl,"Dark
Fairy",,Prankster,Pickpocket,Frisk,['PU'],"HP
95","Atk
120","Def
65","SpA
95","SpD
75","Spe
60"
Grimmsnarl-Gmax,"Dark
Fairy",,Prankster,Pickpocket,Frisk,['National Dex'],"HP
95","Atk
120","Def
65","SpA
95","SpD
75","Spe
60"
Grookey,Grass,,Overgrow,Grassy Surge,,['LC'],"HP
50","Atk
65","Def
50","SpA
40","SpD
40","Spe
65"
Grotle,Grass,,Overgrow,Shell Armor,,['NFE'],"HP
75","Atk
89","Def
85","SpA
55","SpD
65","Spe
36"
Groudon,Ground,,Drought,,,['Uber'],"HP
100","Atk
150","Def
140","SpA
100","SpD
90","Spe
90"
Groudon-Primal,"Ground
Fire",,Desolate Land,,,['National Dex'],"HP
100","Atk
180","Def
160","SpA
150","SpD
90","Spe
90"
Grovyle,Grass,,Overgrow,Unburden,,['NFE'],"HP
50","Atk
65","Def
45","SpA
85","SpD
65","Spe
95"
Growlithe,Fire,,Intimidate,Justified,Flash Fire,['LC'],"HP
55","Atk
70","Def
45","SpA
70","SpD
50","Spe
60"
Growlithe-Hisui,"Fire
Rock",,Intimidate,Rock Head,Flash Fire,['LC'],"HP
60","Atk
75","Def
45","SpA
65","SpD
50","Spe
55"
Grubbin,Bug,,Swarm,,,['LC'],"HP
47","Atk
62","Def
45","SpA
55","SpD
45","Spe
46"
Grumpig,Psychic,,Thick Fat,Gluttony,Own Tempo,['ZU'],"HP
80","Atk
45","Def
65","SpA
90","SpD
110","Spe
80"
Gulpin,Poison,,Liquid Ooze,Gluttony,Sticky Hold,['LC'],"HP
70","Atk
43","Def
53","SpA
43","SpD
53","Spe
40"
Gumshoos,Normal,,Stakeout,Adaptability,Strong Jaw,['ZU'],"HP
88","Atk
110","Def
60","SpA
55","SpD
60","Spe
45"
Gumshoos-Totem,Normal,,Adaptability,,,['National Dex'],"HP
88","Atk
110","Def
60","SpA
55","SpD
60","Spe
45"
Gurdurr,Fighting,,Guts,Iron Fist,Sheer Force,['NFE'],"HP
85","Atk
105","Def
85","SpA
40","SpD
50","Spe
40"
Guzzlord,"Dark
Dragon",,Beast Boost,,,['National Dex'],"HP
223","Atk
101","Def
53","SpA
97","SpD
53","Spe
43"
Gyarados,"Water
Flying",,Intimidate,Moxie,,['NUBL'],"HP
95","Atk
125","Def
79","SpA
60","SpD
100","Spe
81"
Gyarados-Mega,"Water
Dark",,Mold Breaker,,,['National Dex'],"HP
95","Atk
155","Def
109","SpA
70","SpD
130","Spe
81"
Hakamo-o,"Dragon
Fighting",,Bulletproof,Overcoat,Soundproof,['NFE'],"HP
55","Atk
75","Def
90","SpA
65","SpD
70","Spe
65"
Happiny,Normal,,Natural Cure,Friend Guard,Serene Grace,['LC'],"HP
100","Atk
5","Def
5","SpA
15","SpD
65","Spe
30"
Hariyama,Fighting,,Thick Fat,Sheer Force,Guts,['ZUBL'],"HP
144","Atk
120","Def
60","SpA
40","SpD
60","Spe
50"
Hatenna,Psychic,,Healer,Magic Bounce,Anticipation,['LC'],"HP
42","Atk
30","Def
45","SpA
56","SpD
53","Spe
39"
Hatterene,"Psychic
Fairy",,Healer,Magic Bounce,Anticipation,['OU'],"HP
57","Atk
90","Def
95","SpA
136","SpD
103","Spe
29"
Hatterene-Gmax,"Psychic
Fairy",,Healer,Magic Bounce,Anticipation,['National Dex'],"HP
57","Atk
90","Def
95","SpA
136","SpD
103","Spe
29"
Hattrem,Psychic,,Healer,Magic Bounce,Anticipation,['NFE'],"HP
57","Atk
40","Def
65","SpA
86","SpD
73","Spe
49"
Haunter,"Ghost
Poison",,Levitate,,,['NFE'],"HP
45","Atk
50","Def
45","SpA
115","SpD
55","Spe
95"
Hawlucha,"Fighting
Flying",,Limber,Mold Breaker,Unburden,['RUBL'],"HP
78","Atk
92","Def
75","SpA
74","SpD
63","Spe
118"
Haxorus,Dragon,,Rivalry,Unnerve,Mold Breaker,['RUBL'],"HP
76","Atk
147","Def
90","SpA
60","SpD
70","Spe
97"
Heatmor,Fire,,Gluttony,White Smoke,Flash Fire,['National Dex'],"HP
85","Atk
97","Def
66","SpA
105","SpD
66","Spe
65"
Heatran,"Fire
Steel",,Flash Fire,Flame Body,,['UU'],"HP
91","Atk
90","Def
106","SpA
130","SpD
106","Spe
77"
Heliolisk,"Electric
Normal",,Dry Skin,Solar Power,Sand Veil,['National Dex'],"HP
62","Atk
55","Def
52","SpA
109","SpD
94","Spe
109"
Helioptile,"Electric
Normal",,Dry Skin,Solar Power,Sand Veil,['National Dex'],"HP
44","Atk
38","Def
33","SpA
61","SpD
43","Spe
70"
Hemogoblin,"Fairy
Fire",,Pixilate,Own Tempo,Intimidate,['CAP'],"HP
90","Atk
96","Def
87","SpA
96","SpD
89","Spe
55"
Heracross,"Bug
Fighting",,Swarm,Moxie,Guts,['NU'],"HP
80","Atk
125","Def
75","SpA
40","SpD
95","Spe
85"
Heracross-Mega,"Bug
Fighting",,Skill Link,,,['National Dex'],"HP
80","Atk
185","Def
115","SpA
40","SpD
105","Spe
75"
Herdier,Normal,,Intimidate,Scrappy,Sand Rush,['National Dex'],"HP
65","Atk
80","Def
65","SpA
35","SpD
65","Spe
60"
Hippopotas,Ground,,Sand Stream,Sand Force,,['LC'],"HP
68","Atk
72","Def
78","SpA
38","SpD
42","Spe
32"
Hippowdon,Ground,,Sand Stream,Sand Force,,['RU'],"HP
108","Atk
112","Def
118","SpA
68","SpD
72","Spe
47"
Hitmonchan,Fighting,,Keen Eye,Inner Focus,Iron Fist,['ZU'],"HP
50","Atk
105","Def
79","SpA
35","SpD
110","Spe
76"
Hitmonlee,Fighting,,Limber,Unburden,Reckless,['ZU'],"HP
50","Atk
120","Def
53","SpA
35","SpD
110","Spe
87"
Hitmontop,Fighting,,Intimidate,Steadfast,Technician,['PU'],"HP
50","Atk
95","Def
95","SpA
35","SpD
110","Spe
70"
Ho-Oh,"Fire
Flying",,Pressure,Regenerator,,['Uber'],"HP
106","Atk
130","Def
90","SpA
110","SpD
154","Spe
90"
Honchkrow,"Dark
Flying",,Insomnia,Moxie,Super Luck,['ZU'],"HP
100","Atk
125","Def
52","SpA
105","SpD
52","Spe
71"
Honedge,"Steel
Ghost",,No Guard,,,['National Dex'],"HP
45","Atk
80","Def
100","SpA
35","SpD
37","Spe
28"
Hoopa,"Psychic
Ghost",,Magician,,,['PU'],"HP
80","Atk
110","Def
60","SpA
150","SpD
130","Spe
70"
Hoopa-Unbound,"Psychic
Dark",,Magician,,,['UU'],"HP
80","Atk
160","Def
60","SpA
170","SpD
130","Spe
80"
Hoothoot,"Normal
Flying",,Insomnia,Tinted Lens,Keen Eye,['LC'],"HP
60","Atk
30","Def
30","SpA
36","SpD
56","Spe
50"
Hoppip,"Grass
Flying",,Chlorophyll,Infiltrator,Leaf Guard,['LC'],"HP
35","Atk
35","Def
40","SpA
35","SpD
55","Spe
50"
Horsea,Water,,Swift Swim,Damp,Sniper,['LC'],"HP
30","Atk
40","Def
70","SpA
70","SpD
25","Spe
60"
Houndoom,"Dark
Fire",,Early Bird,Unnerve,Flash Fire,['ZU'],"HP
75","Atk
90","Def
50","SpA
110","SpD
80","Spe
95"
Houndoom-Mega,"Dark
Fire",,Solar Power,,,['National Dex'],"HP
75","Atk
90","Def
90","SpA
140","SpD
90","Spe
115"
Houndour,"Dark
Fire",,Early Bird,Unnerve,"Flash Fire
This Pokemon's Fire attacks do 1.5x damage if hit by one Fire move; Fire immunity.",['LC'],"HP
45","Atk
60","Def
30","SpA
80","SpD
50","Spe
65"
Houndstone,Ghost,,Sand Rush,Fluffy,,['PU'],"HP
72","Atk
101","Def
100","SpA
50","SpD
97","Spe
68"
Huntail,Water,,Swift Swim,Water Veil,,['National Dex'],"HP
55","Atk
104","Def
105","SpA
94","SpD
75","Spe
52"
Hydrapple,"Grass
Dragon",,Supersweet Syrup,Sticky Hold,Regenerator,['UU'],"HP
106","Atk
80","Def
110","SpA
120","SpD
80","Spe
44"
Hydreigon,"Dark
Dragon",,Levitate,,,['RUBL'],"HP
92","Atk
105","Def
90","SpA
125","SpD
90","Spe
98"
Hypno,Psychic,,Insomnia,Inner Focus,Forewarn,['ZU'],"HP
85","Atk
73","Def
70","SpA
73","SpD
115","Spe
67"
Igglybuff,"Normal
Fairy",,Cute Charm,Friend Guard,Competitive,['LC'],"HP
90","Atk
30","Def
15","SpA
40","SpD
20","Spe
15"
Illumise,Bug,,Oblivious,Prankster,Tinted Lens,['ZU'],"HP
65","Atk
47","Def
75","SpA
73","SpD
85","Spe
85"
Impidimp,"Dark
Fairy",,Prankster,Pickpocket,Frisk,['LC'],"HP
45","Atk
45","Def
30","SpA
55","SpD
40","Spe
50"
Incineroar,"Fire
Dark",,Blaze,Intimidate,,['NU'],"HP
95","Atk
115","Def
90","SpA
80","SpD
90","Spe
60"
Indeedee,"Psychic
Normal",,Inner Focus,Psychic Surge,Synchronize,['PUBL'],"HP
60","Atk
65","Def
55","SpA
105","SpD
95","Spe
95"
Indeedee-F,"Psychic
Normal",,Own Tempo,Psychic Surge,Synchronize,['ZU'],"HP
70","Atk
55","Def
65","SpA
95","SpD
105","Spe
85"
Infernape,"Fire
Fighting",,Blaze,Iron Fist,,['NU'],"HP
76","Atk
104","Def
71","SpA
104","SpD
71","Spe
108"
Inkay,"Dark
Psychic",,Contrary,Infiltrator,Suction Cups,['LC'],"HP
53","Atk
54","Def
53","SpA
37","SpD
46","Spe
45"
Inteleon,Water,,Torrent,Sniper,,['NU'],"HP
70","Atk
85","Def
65","SpA
125","SpD
65","Spe
120"
Inteleon-Gmax,Water,,Torrent,Sniper,,['National Dex'],"HP
70","Atk
85","Def
65","SpA
125","SpD
65","Spe
120"
Iron Boulder,"Rock
Psychic",,Quark Drive,,,['UUBL'],"HP
90","Atk
120","Def
80","SpA
68","SpD
108","Spe
124"
Iron Bundle,"Ice
Water",,Quark Drive,,,['Uber'],"HP
56","Atk
80","Def
114","SpA
124","SpD
60","Spe
136"
Iron Crown,"Steel
Psychic",,Quark Drive,,,['OU'],"HP
90","Atk
72","Def
100","SpA
122","SpD
108","Spe
98"
Iron Hands,"Fighting
Electric",,Quark Drive,,,['UUBL'],"HP
154","Atk
140","Def
108","SpA
50","SpD
68","Spe
50"
Iron Jugulis,"Dark
Flying",,Quark Drive,,,['RUBL'],"HP
94","Atk
80","Def
86","SpA
122","SpD
80","Spe
108"
Iron Leaves,"Grass
Psychic",,Quark Drive,,,['RUBL'],"HP
90","Atk
130","Def
88","SpA
70","SpD
108","Spe
104"
Iron Moth,"Fire
Poison",,Quark Drive,,,['OU'],"HP
80","Atk
70","Def
60","SpA
140","SpD
110","Spe
110"
Iron Thorns,"Rock
Electric",,Quark Drive,,,['NUBL'],"HP
100","Atk
134","Def
110","SpA
70","SpD
84","Spe
72"
Iron Treads,"Ground
Steel",,Quark Drive,,,['OU'],"HP
90","Atk
112","Def
120","SpA
72","SpD
70","Spe
106"
Iron Valiant,"Fairy
Fighting",,Quark Drive,,,['OU'],"HP
74","Atk
130","Def
90","SpA
120","SpD
60","Spe
116"
Ivysaur,"Grass
Poison",,Overgrow,Chlorophyll,,['NFE'],"HP
60","Atk
62","Def
63","SpA
80","SpD
80","Spe
60"
Jangmo-o,Dragon,,Bulletproof,Overcoat,Soundproof,['LC'],"HP
45","Atk
55","Def
65","SpA
45","SpD
45","Spe
45"
Jellicent,"Water
Ghost",,Water Absorb,Damp,Cursed Body,['National Dex'],"HP
100","Atk
60","Def
70","SpA
85","SpD
105","Spe
60"
Jigglypuff,"Normal
Fairy",,Cute Charm,Friend Guard,Competitive,['NFE'],"HP
115","Atk
45","Def
20","SpA
45","SpD
25","Spe
20"
Jirachi,"Steel
Psychic",,Serene Grace,,,['RU'],"HP
100","Atk
100","Def
100","SpA
100","SpD
100","Spe
100"
Jolteon,Electric,,Volt Absorb,Quick Feet,,['ZU'],"HP
65","Atk
65","Def
60","SpA
110","SpD
95","Spe
130"
