name,type,power,accuracy,pp,description
Storm Throw,Fighting,60,100%,10,Always results in a critical hit.
Strange Steam,Fairy,90,95%,10,20% chance to confuse the target.
Strength,Normal,80,100%,15,No additional effect.
Strength Sap,Grass,—,100%,10,User heals HP=target's Atk stat. Lowers Atk by 1.
String Shot,Bug,—,95%,40,Lowers the foe(s) Speed by 2.
Struggle,Normal,50,—,1,User loses 1/4 of its max HP.
Struggle Bug,Bug,50,100%,20,100% chance to lower the foe(s) Sp. Atk by 1.
Stuff Cheeks,Normal,—,—,10,"Must hold Berry to use. User eats Berry, Def +2."
Stun Spore,Grass,—,75%,30,Paralyzes the target.
Submission,Fighting,80,80%,20,Has 1/4 recoil.
Substitute,Normal,—,—,10,User takes 1/4 its max HP to put in a substitute.
Subzero Slammer,Ice,1,—,1,Power is equal to the base move's Z-Power.
Sucker Punch,Dark,70,100%,5,Usually goes first. Fails if target is not attacking.
Sunny Day,Fire,—,—,5,"For 5 turns, intense sunlight powers Fire moves."
Sunsteel Strike,Steel,100,100%,5,Ignores the Abilities of other Pokemon.
Super Fang,Normal,—,90%,10,Does damage equal to 1/2 target's current HP.
Supercell Slam,Electric,100,95%,15,User is hurt by 50% of its max HP if it misses.
Superpower,Fighting,120,100%,5,Lowers the user's Attack and Defense by 1.
Supersonic,Normal,—,55%,20,Causes the target to become confused.
Supersonic Skystrike,Flying,1,—,1,Power is equal to the base move's Z-Power.
Surf,Water,90,100%,15,Hits adjacent Pokemon. Double damage on Dive.
Surging Strikes,Water,25,100%,5,Always results in a critical hit. Hits 3 times.
Swagger,Normal,—,85%,15,Raises the target's Attack by 2 and confuses it.
Swallow,Normal,—,—,10,Heals the user based on uses of Stockpile.
Sweet Kiss,Fairy,—,75%,10,Causes the target to become confused.
Sweet Scent,Normal,—,100%,20,Lowers the foe(s) evasiveness by 2.
Swift,Normal,60,—,20,This move does not check accuracy. Hits foes.
Switcheroo,Dark,—,100%,10,User switches its held item with the target's.
Swords Dance,Normal,—,—,20,Raises the user's Attack by 2.
Synchronoise,Psychic,120,100%,10,Hits adjacent Pokemon sharing the user's type.
Synthesis,Grass,—,—,5,Heals the user by a weather-dependent amount.
Syrup Bomb,Grass,60,85%,10,Target's Speed is lowered by 1 stage for 3 turns.
Tachyon Cutter,Steel,50,—,10,Hits twice. This move does not check accuracy.
Tackle,Normal,40,100%,35,No additional effect.
Tail Glow,Bug,—,—,20,Raises the user's Sp. Atk by 3.
Tail Slap,Normal,25,85%,10,Hits 2-5 times in one turn.
Tail Whip,Normal,—,100%,30,Lowers the foe(s) Defense by 1.
Tailwind,Flying,—,—,15,"For 4 turns, allies' Speed is doubled."
Take Down,Normal,90,85%,20,Has 1/4 recoil.
Take Heart,Psychic,—,—,15,"Cures user's status, raises Sp. Atk, Sp. Def by 1."
Tar Shot,Rock,—,100%,15,Target gets -1 Spe and becomes weaker to Fire.
Taunt,Dark,—,100%,20,Target can't use status moves its next 3 turns.
Tearful Look,Normal,—,—,20,Lowers the target's Attack and Sp. Atk by 1.
Teatime,Normal,—,—,10,All active Pokemon consume held Berries.
Techno Blast,Normal,120,100%,5,Type varies based on the held Drive.
Tectonic Rage,Ground,1,—,1,Power is equal to the base move's Z-Power.
Teeter Dance,Normal,—,100%,20,Confuses adjacent Pokemon.
Telekinesis,Psychic,—,—,15,"For 3 turns, target floats but moves can't miss it."
Teleport,Psychic,—,—,20,User switches out.
Temper Flare,Fire,75,100%,10,Power doubles if the user's last move failed.
Tera Blast,Normal,80,100%,10,"If Terastallized: Phys. if Atk > SpA, type = Tera."
Tera Starstorm,Normal,120,100%,5,"Terapagos-Stellar: Stellar type, hits both foes."
Terrain Pulse,Normal,50,100%,10,"User on terrain: power doubles, type varies."
Thief,Dark,60,100%,25,"If the user has no item, it steals the target's."
Thousand Arrows,Ground,90,100%,10,Grounds adjacent foes. First hit neutral on Flying.
Thousand Waves,Ground,90,100%,10,Hits adjacent foes. Prevents them from switching.
Thrash,Normal,120,100%,10,Lasts 2-3 turns. Confuses the user afterwards.
Throat Chop,Dark,80,100%,15,"For 2 turns, the target cannot use sound moves."
Thunder,Electric,110,70%,10,30% chance to paralyze. Can't miss in rain.
Thunder Cage,Electric,80,90%,15,Traps and damages the target for 4-5 turns.
Thunder Fang,Electric,65,95%,15,10% chance to paralyze. 10% chance to flinch.
Thunder Punch,Electric,75,100%,15,10% chance to paralyze the target.
Thunder Shock,Electric,40,100%,30,10% chance to paralyze the target.
Thunder Wave,Electric,—,90%,20,Paralyzes the target.
Thunderbolt,Electric,90,100%,15,10% chance to paralyze the target.
Thunderclap,Electric,70,100%,5,Usually goes first. Fails if target is not attacking.
Thunderous Kick,Fighting,90,100%,10,100% chance to lower the target's Defense by 1.
Tickle,Normal,—,100%,20,Lowers the target's Attack and Defense by 1.
Tidy Up,Normal,—,—,10,"User +1 Atk, Spe. Clears all substitutes/hazards."
Topsy-Turvy,Dark,—,—,20,Inverts the target's stat stages.
Torch Song,Fire,80,100%,10,100% chance to raise the user's Sp. Atk by 1.
Torment,Dark,—,100%,15,Target can't select the same move twice in a row.
Toxic,Poison,—,90%,10,Badly poisons the target. Poison types can't miss.
Toxic Spikes,Poison,—,—,20,Poisons grounded foes on switch-in. Max 2 layers.
Toxic Thread,Poison,—,100%,20,Lowers the target's Speed by 1 and poisons it.
Trailblaze,Grass,50,100%,20,100% chance to raise the user's Speed by 1.
Transform,Normal,—,—,10,"Copies target's stats, moves, types, and Ability."
Tri Attack,Normal,80,100%,10,20% chance to paralyze or burn or freeze target.
Trick,Psychic,—,100%,10,User switches its held item with the target's.
Trick Room,Psychic,—,—,5,"Goes last. For 5 turns, turn order is reversed."
Trick-or-Treat,Ghost,—,100%,20,Adds Ghost to the target's type(s).
Triple Arrows,Fighting,90,100%,10,"High crit. Target: 50% -1 Defense, 30% flinch."
Triple Axel,Ice,20,90%,10,"Hits 3 times. Each hit can miss, but power rises."
Triple Dive,Water,30,95%,10,Hits 3 times.
Triple Kick,Fighting,10,90%,10,"Hits 3 times. Each hit can miss, but power rises."
Trop Kick,Grass,70,100%,15,100% chance to lower the target's Attack by 1.
Trump Card,Normal,—,—,5,More power the fewer PP this move has left.
Twin Beam,Psychic,40,100%,10,Hits 2 times in one turn.
Twineedle,Bug,25,100%,20,Hits 2 times. Each hit has 20% chance to poison.
Twinkle Tackle,Fairy,1,—,1,Power is equal to the base move's Z-Power.
Twister,Dragon,40,100%,20,20% chance to make the foe(s) flinch.
U-turn,Bug,70,100%,20,User switches out after damaging the target.
Upper Hand,Fighting,65,100%,15,100% flinch. Fails unless target using priority.
Uproar,Normal,90,100%,10,Lasts 3 turns. Active Pokemon cannot fall asleep.
V-create,Fire,180,95%,5,"Lowers the user's Defense, Sp. Def, Speed by 1."
Vacuum Wave,Fighting,40,100%,30,Usually goes first.
Veevee Volley,Normal,—,—,20,Max happiness: 102 power. Can't miss.
Venom Drench,Poison,—,100%,20,Lowers Atk/Sp. Atk/Speed of poisoned foes by 1.
Venoshock,Poison,65,100%,10,Power doubles if the target is poisoned.
Vice Grip,Normal,55,100%,30,No additional effect.
Victory Dance,Fighting,—,—,10,"Raises the user's Attack, Defense, Speed by 1."
Vine Whip,Grass,45,100%,25,No additional effect.
Vital Throw,Fighting,70,—,10,This move does not check accuracy. Goes last.
Volt Switch,Electric,70,100%,20,User switches out after damaging the target.
Volt Tackle,Electric,120,100%,15,Has 33% recoil. 10% chance to paralyze target.
Wake-Up Slap,Fighting,70,100%,10,"Power doubles if target is asleep, and wakes it."
Water Gun,Water,40,100%,25,No additional effect.
Water Pledge,Water,80,100%,10,Use with Grass or Fire Pledge for added effect.
Water Pulse,Water,60,100%,20,20% chance to confuse the target.
Water Shuriken,Water,15,100%,20,Usually goes first. Hits 2-5 times in one turn.
Water Sport,Water,—,—,15,"For 5 turns, Fire-type attacks have 1/3 power."
Water Spout,Water,150,100%,5,Less power as user's HP decreases. Hits foe(s).
Waterfall,Water,80,100%,15,20% chance to make the target flinch.
Wave Crash,Water,120,100%,10,Has 33% recoil.
Weather Ball,Normal,50,100%,10,Power doubles and type varies in each weather.
Whirlpool,Water,35,85%,15,Traps and damages the target for 4-5 turns.
Whirlwind,Normal,—,—,20,Forces the target to switch to a random ally.
Wicked Blow,Dark,75,100%,5,Always results in a critical hit.
Wicked Torque,Dark,80,100%,10,10% chance to cause the target to fall asleep.
Wide Guard,Rock,—,—,10,Protects allies from multi-target moves this turn.
Wild Charge,Electric,90,100%,15,Has 1/4 recoil.
Wildbolt Storm,Electric,100,80%,10,20% chance to paralyze foe(s). Rain: can't miss.
Will-O-Wisp,Fire,—,85%,15,Burns the target.
Wing Attack,Flying,60,100%,35,No additional effect.
Wish,Normal,—,—,10,"Next turn, 50% of the user's max HP is restored."
Withdraw,Water,—,—,40,Raises the user's Defense by 1.
Wonder Room,Psychic,—,—,10,"For 5 turns, all Defense and Sp. Def stats switch."
Wood Hammer,Grass,120,100%,15,Has 33% recoil.
Work Up,Normal,—,—,30,Raises the user's Attack and Sp. Atk by 1.
Worry Seed,Grass,—,100%,10,The target's Ability becomes Insomnia.
Wrap,Normal,15,90%,20,Traps and damages the target for 4-5 turns.
Wring Out,Normal,—,100%,5,More power the more HP the target has left.
X-Scissor,Bug,80,100%,15,No additional effect.
Yawn,Normal,—,—,10,Puts the target to sleep after 1 turn.
Zap Cannon,Electric,120,50%,5,100% chance to paralyze the target.
Zen Headbutt,Psychic,80,90%,15,20% chance to make the target flinch.
Zing Zap,Electric,80,100%,10,30% chance to make the target flinch.
Zippy Zap,Electric,50,100%,15,Nearly always goes first. Always crits.
